list_name,name,label,dis_filter
cadas,LBN41002,Aayta ej Jabal Zott - عيتا الجبل الزط,LBD0007
cadas,LBN23003,Aaz el Aarab - عز العرب,LBD0020
cadas,LBN33007,Aazibett tahta - عزبيات التحتا,LBD0008
cadas,LBN62004,Aazour - عازور,LBD0017
cadas,LBN35008,Aazrane - عزرانة,LBD0018
cadas,LBN44004,Aazze - عزه,LBD0014
cadas,LBN63006,Aazziye - عزِّيه,LBD0022
cadas,LBN31006,Aazzouniye - العزونيه,LBD0002
cadas,LBN320003,Abbdiyeh al Jadideh - عبادية الجديدة,LBD0003
cadas,LBN51072,Abde - العبده,LBD0001
cadas,LBN25003,Ablah - ابلح,LBD0025
cadas,LBN63007,Abou Chach - أبو شاش,LBD0022
cadas,LBN61008,Abou el Assouad - ابو الاسود,LBD0021
cadas,LBN55091,Abou Hamad - ابو حمد,LBD0013
cadas,LBN36008,Abou Mizane - أبو ميزان,LBD0012
cadas,LBN42001,Abou Qamha - أبو قمحة,LBD0015
cadas,LBN56018,Abou Samra - ابو سمرا,LBD0023
cadas,LBN11002,Achrafiye - الاشرفية,LBD0006
cadas,LBN34012,Adonis - ادونيس,LBD0016
cadas,LBN35010,Adonis Kesserwan - أدونيس كسروان,LBD0018
cadas,LBN34013,Afqa - افقا,LBD0016
cadas,LBN55007,Afqa El Minieh - افقا المنيه,LBD0013
cadas,LBN35011,Aghbe - إغبة,LBD0018
cadas,LBN54003,Ain Aakrine - عين عكرين,LBD0011
cadas,LBN36009,Ain Aalaq - عين علق,LBD0012
cadas,LBN36010,Ain Aar - عين عار,LBD0012
cadas,LBN23004,Ain Aarab - عين عرب,LBD0020
cadas,LBN43006,Ain Aarab Marjaayoun - عين عرب مرجعيون,LBD0019
cadas,LBN23005,Ain Aata - عين عطا,LBD0020
cadas,LBN33008,Ain Aazime - عين عزيمة,LBD0008
cadas,LBN35012,Ain Abaal - عين ابعل,LBD0018
cadas,LBN63008,Ain Abu Aabdalla - عين أبو عبدالله,LBD0022
cadas,LBN22002,Ain al Jadideh - عين الجديدة الهرمل,LBD0010
cadas,LBN31007,Ain Al Saydeh -  عين السيدة,LBD0002
cadas,LBN31008,Ain Anoub - عين عنوب,LBD0002
cadas,LBN63009,Ain Baal - عين بعل,LBD0022
cadas,LBN33009,Ain Bal - عينبال,LBD0008
cadas,LBN21004,Ain Bourday - عين بورداي,LBD0004
cadas,LBN34014,Ain Bqechqoch - عين بقشقش,LBD0016
cadas,LBN31009,Ain Dara - عين داره,LBD0002
cadas,LBN31010,Ain Drafil - عين درافيل,LBD0002
cadas,LBN41004,Ain Ebel - عين ابل,LBD0007
cadas,LBN34015,Ain ed Deir - عين الدير,LBD0016
cadas,LBN61009,Ain Ed Delb - عين الدلب,LBD0021
cadas,LBN35013,Ain Ed Delbe - عين الدلبة,LBD0018
cadas,LBN34016,Ain Ed Delbe Jbeil - عين الدلبة جبيل,LBD0016
cadas,LBN21005,Ain Ej Jaouze - عين الجوزة,LBD0004
cadas,LBN31011,Ain ej Jdide - عين الجديدة,LBD0002
cadas,LBN35014,Ain Ej Jorn - عين الجرن,LBD0018
cadas,LBN33010,Ain El Assad - عين الاسد,LBD0008
cadas,LBN52006,Ain el Batie - عين البطيه,LBD0009
cadas,LBN22091,Ain el bayda - عين البيضاء,LBD0010
cadas,LBN52007,Ain el Blat - عين البلاط,LBD0009
cadas,LBN21006,Ain El Bnaiye - عين البنية,LBD0004
cadas,LBN31012,Ain el Fraidis -  عين الفريديس,LBD0002
cadas,LBN25004,Ain el Ghmiqa - عين الغميقة,LBD0025
cadas,LBN34003,Ain el Ghouaibe - عين الغويبة,LBD0016
cadas,LBN31013,Ain el Halzoun - عين الحلزون,LBD0002
cadas,LBN33193,Ain el Haour - عين الحور,LBD0008
cadas,LBN61010,Ain el Hiloue - عين الحلوة,LBD0021
cadas,LBN31014,Ain el Jaouze - عين الجوزه,LBD0002
cadas,LBN36011,Ain El Kharroube - عين الخروبة,LBD0012
cadas,LBN31015,Ain el Marj - عين المرج,LBD0002
cadas,LBN62005,Ain el Mir el Estabel - عين المير إسطبل,LBD0017
cadas,LBN36012,Ain El Qabou - عين القبو,LBD0012
cadas,LBN34017,Ain el Qadah - عين القدح,LBD0016
cadas,LBN36013,Ain el Qassis - عين القسيس,LBD0012
cadas,LBN11004,Ain El Tine - عين التينة,LBD0006
cadas,LBN36186,Ain el-Kach - عين القش,LBD0012
cadas,LBN52008,Ain er Raha - عين الراحا,LBD0009
cadas,LBN31016,Ain er Remmane - عين الرمانة,LBD0002
cadas,LBN35015,Ain Er Rihane - عين الريحان,LBD0018
cadas,LBN36014,Ain Er Rihane el meten - عين الريحان المتن,LBD0012
cadas,LBN320004,Ain er Roummane - عين الرمانة بعبدا,LBD0003
cadas,LBN51015,Ain er Rsas - عين الراس,LBD0001
cadas,LBN55008,Ain es Safsaf - عين الصفصاف,LBD0013
cadas,LBN36015,Ain Es Safsaf el meten - عين الصفصاف المتن,LBD0012
cadas,LBN34019,Ain es Salib - عين الصليب,LBD0016
cadas,LBN21007,Ain es Saouda - عين السودا,LBD0004
